card_id,disp_id,type,year,month,day,fulldate
V00001137,D00011771,VISA Infinite,2018,12,1,2018-12-01
V00000677,D00004382,VISA Standard,2018,12,1,2018-12-01
V00000020,D00000131,VISA Signature,2018,12,2,2018-12-02
V00000657,D00004246,VISA Standard,2018,12,2,2018-12-02
V00000219,D00001329,VISA Signature,2018,12,4,2018-12-04
V00000819,D00005978,VISA Infinite,2018,12,6,2018-12-06
V00001177,D00012535,VISA Infinite,2018,12,6,2018-12-06
V00000341,D00002156,VISA Infinite,2018,12,6,2018-12-06
V00000692,D00004493,VISA Signature,2018,12,8,2018-12-08
V00000715,D00004639,VISA Standard,2018,12,8,2018-12-08
V00000131,D00000725,VISA Signature,2018,12,8,2018-12-08
V00000201,D00001223,VISA Signature,2018,12,8,2018-12-08
V00000605,D00003874,VISA Signature,2018,12,11,2018-12-11
V00000306,D00001929,VISA Signature,2018,12,11,2018-12-11
V00000378,D00002430,VISA Signature,2018,12,11,2018-12-11
V00000549,D00003504,VISA Signature,2018,12,12,2018-12-12
V00000371,D00002388,VISA Infinite,2018,12,13,2018-12-13
V00000147,D00000826,VISA Standard,2018,12,13,2018-12-13
V00000527,D00003348,VISA Standard,2018,12,14,2018-12-14
V00000172,D00001030,VISA Signature,2018,12,14,2018-12-14
V00000886,D00007325,VISA Signature,2018,12,15,2018-12-15
V00000479,D00003085,VISA Signature,2018,12,16,2018-12-16
V00000691,D00004492,VISA Signature,2018,12,16,2018-12-16
V00000560,D00003577,VISA Signature,2018,12,17,2018-12-17
V00000452,D00002910,VISA Signature,2018,12,19,2018-12-19
V00000506,D00003236,VISA Infinite,2018,12,19,2018-12-19
V00000735,D00004772,VISA Signature,2018,12,19,2018-12-19
V00000654,D00004230,VISA Signature,2018,12,21,2018-12-21
V00000196,D00001197,VISA Signature,2018,12,22,2018-12-22
V00000473,D00003063,VISA Signature,2018,12,22,2018-12-22
V00000829,D00006255,VISA Signature,2018,12,22,2018-12-22
V00000310,D00001947,VISA Standard,2018,12,23,2018-12-23
V00000076,D00000464,VISA Signature,2018,12,23,2018-12-23
V00000573,D00003638,VISA Signature,2018,12,23,2018-12-23
V00000240,D00001459,VISA Signature,2018,12,23,2018-12-23
V00000728,D00004725,VISA Signature,2018,12,24,2018-12-24
V00000924,D00007862,VISA Signature,2018,12,24,2018-12-24
V00000486,D00003128,VISA Infinite,2018,12,25,2018-12-25
V00001081,D00010696,VISA Signature,2018,12,25,2018-12-25
V00000753,D00004974,VISA Signature,2018,12,25,2018-12-25
V00000442,D00002796,VISA Signature,2018,12,26,2018-12-26
V00000125,D00000694,VISA Infinite,2018,12,26,2018-12-26
V00000674,D00004360,VISA Signature,2018,12,28,2018-12-28
V00000322,D00002063,VISA Signature,2018,12,28,2018-12-28
V00000685,D00004467,VISA Signature,2018,12,29,2018-12-29
V00000635,D00004083,VISA Signature,2018,12,29,2018-12-29
